dept_id,dept_name,dept_delete_ind
1,Department of Chemical Engineering,FALSE
2,Institute of Civil Engineering,FALSE
3,Department of Computer Science,FALSE
4,Electrical and Electronics Institute,FALSE
5,Department of Geodetic Engineering,FALSE
6,Department of Industrial Engineering and Operations Research,FALSE
7,Department of Mechanical Engineering,FALSE
8,Department of Mining Metallurgical and Materials Engineering,FALSE
9,Energy Engineering Program,FALSE
10,Environmental Engineering Program,FALSE