pub_id,p_author_id,author_name
6,146,
6,126,
7,145,
8,145,
9,147,
10,147,
113,145,
113,152,
113,153,
114,145,
115,145,
116,155,
116,162,
116,163,
117,155,
117,162,
118,155,
118,162,
118,163,
119,155,
119,163,
120,155,
120,164,
120,165,
121,155,
121,163,
122,155,
122,163,
123,155,
123,164,
123,165,
124,155,
124,163,
125,155,
125,49,
125,53,
125,55,
126,148,
127,148,
128,148,
128,107,
129,148,
130,145,
130,146,
131,149,
132,149,
133,149,
134,149,
135,149,
136,150,
137,150,
138,150,
139,150,
140,150,
141,150,
142,150,
143,150,
144,150,
145,150,
146,150,
147,150,
148,150,
149,150,
150,150,
151,150,
152,151,
153,151,
154,151,
155,151,
156,151,
157,152,
158,152,
159,148,
159,152,
159,17,
160,152,
160,166,
160,167,
160,168,
160,169,
161,152,
162,152,
163,145,
163,149,
163,152,
163,63,
163,167,
164,152,
165,153,
165,72,
166,153,
167,153,
168,153,
169,153,
170,153,
170,121,
171,153,
171,97,
172,153,
173,153,
174,153,
175,153,
176,153,
176,59,
177,153,
178,153,
179,153,
180,153,
181,153,
182,154,
183,154,
184,154,
185,154,
186,154,
187,147,
187,9,
187,68,
187,94,
188,147,
189,147,
190,147,
191,147,
191,152,
191,44,
191,170,
192,147,
193,147,
193,152,
193,35,
194,147,
195,147,
196,147,
197,147,