college_id,college_name,college_delete_ind
1,College of Arts and Letters,FALSE
2,College of Fine Arts,FALSE
3,College of Human Kinetics,FALSE
4,College of Mass Communication,FALSE
5,College of Music,FALSE
6,Asian Institute of Tourism,FALSE
7,Cesar E.A. Virata School of Business,FALSE
8,School of Economics,FALSE
9,School of Labor and Industrial Relations,FALSE
10,National College of Public Administration and Governance,FALSE
11,School of Urban and Regional Planning,FALSE
12,Technology Management Center,FALSE
13,UPD Extension Program in Pampanga and Olongapo,FALSE
14,School of Archaeology,FALSE
15,College of Architecture,FALSE
16,College of Engineering,FALSE
17,College of Home Economics,FALSE
18,College of Science,FALSE
19,School of Library and Information Studies,FALSE
20,School of Statistics,FALSE
21,Asian Center,FALSE
22,College of Education,FALSE
23,Institute of Islamic Studies,FALSE
24,College of Law,FALSE
25,College of Social Sciences and Philosophy,FALSE
26,College of Social Work and Community Development,FALSE